Alpha;Beta;Iterations
0.78;0.72;1000
0.78;0.73;1000
0.78;0.74;1000
0.78;0.75;1000
0.78;0.76;1000
0.78;0.77;1000
0.78;0.78;1000
0.79;0.0;5
0.79;0.01;5
0.79;0.02;5
0.79;0.03;4
0.79;0.04;6
0.79;0.05;6
0.79;0.06;6
0.79;0.07;6
0.79;0.08;6
0.79;0.09;6
0.79;0.1;6
0.79;0.11;6
0.79;0.12;7
0.79;0.13;7
0.79;0.14;8
0.79;0.15;8
0.79;0.16;8
0.79;0.17;8
0.79;0.18;8
0.79;0.19;9
0.79;0.2;9
0.79;0.21;1000
0.79;0.22;1000
0.79;0.23;1000
0.79;0.24;1000
0.79;0.25;1000
0.79;0.26;1000
0.79;0.27;1000
0.79;0.28;1000
0.79;0.29;1000
0.79;0.3;1000
0.79;0.31;1000
0.79;0.32;1000
0.79;0.33;1000
0.79;0.34;1000
0.79;0.35;1000
0.79;0.36;1000
0.79;0.37;1000
0.79;0.38;1000
0.79;0.39;1000
0.79;0.4;1000
0.79;0.41;1000
0.79;0.42;1000
0.79;0.43;1000
0.79;0.44;1000
0.79;0.45;1000
0.79;0.46;1000
0.79;0.47;1000
0.79;0.48;1000
0.79;0.49;1000
0.79;0.5;1000
0.79;0.51;1000
0.79;0.52;1000
0.79;0.53;1000
0.79;0.54;1000
0.79;0.55;1000
0.79;0.56;1000
0.79;0.57;1000
0.79;0.58;1000
0.79;0.59;1000
0.79;0.6;1000
0.79;0.61;1000
0.79;0.62;1000
0.79;0.63;1000
0.79;0.64;1000
0.79;0.65;1000
0.79;0.66;1000
0.79;0.67;1000
0.79;0.68;1000
0.79;0.69;1000
0.79;0.7;1000
0.79;0.71;1000
0.79;0.72;1000
0.79;0.73;1000
0.79;0.74;1000
0.79;0.75;1000
0.79;0.76;1000
0.79;0.77;1000
0.79;0.78;1000
0.79;0.79;1000
0.8;0.0;5
0.8;0.01;5
0.8;0.02;4
0.8;0.03;4
0.8;0.04;6
0.8;0.05;6
0.8;0.06;6
0.8;0.07;6
0.8;0.08;6
0.8;0.09;6
0.8;0.1;6
0.8;0.11;7
0.8;0.12;7
0.8;0.13;7
0.8;0.14;8
0.8;0.15;8
0.8;0.16;8
0.8;0.17;8
0.8;0.18;9
0.8;0.19;9
0.8;0.2;1000
0.8;0.21;1000
0.8;0.22;1000
0.8;0.23;1000
0.8;0.24;1000
0.8;0.25;1000
0.8;0.26;1000
0.8;0.27;1000
0.8;0.28;1000
0.8;0.29;1000
0.8;0.3;1000
0.8;0.31;1000
0.8;0.32;1000
0.8;0.33;1000
0.8;0.34;1000
0.8;0.35;1000
0.8;0.36;1000
0.8;0.37;1000
0.8;0.38;1000
0.8;0.39;1000
0.8;0.4;1000
0.8;0.41;1000
0.8;0.42;1000
0.8;0.43;1000
0.8;0.44;1000
0.8;0.45;1000
0.8;0.46;1000
0.8;0.47;1000
0.8;0.48;1000
0.8;0.49;1000
0.8;0.5;1000
0.8;0.51;1000
0.8;0.52;1000
0.8;0.53;1000
0.8;0.54;1000
0.8;0.55;1000
0.8;0.56;1000
0.8;0.57;1000
0.8;0.58;1000
0.8;0.59;1000
0.8;0.6;1000
0.8;0.61;1000
0.8;0.62;1000
0.8;0.63;1000
0.8;0.64;1000
0.8;0.65;1000
0.8;0.66;1000
0.8;0.67;1000
0.8;0.68;1000
0.8;0.69;1000
0.8;0.7;1000
0.8;0.71;1000
0.8;0.72;1000
0.8;0.73;1000
0.8;0.74;1000
0.8;0.75;1000
0.8;0.76;1000
0.8;0.77;1000
0.8;0.78;1000
0.8;0.79;1000
0.8;0.8;1000
0.81;0.0;5
0.81;0.01;5
0.81;0.02;4
0.81;0.03;4
0.81;0.04;6
0.81;0.05;6
0.81;0.06;6
0.81;0.07;6
0.81;0.08;6
0.81;0.09;6
0.81;0.1;6
0.81;0.11;7
0.81;0.12;7
0.81;0.13;7
0.81;0.14;7
0.81;0.15;8
0.81;0.16;8
0.81;0.17;8
0.81;0.18;9
0.81;0.19;1000
0.81;0.2;1000
0.81;0.21;1000
0.81;0.22;1000
0.81;0.23;1000
0.81;0.24;1000
0.81;0.25;1000
0.81;0.26;1000
0.81;0.27;1000
0.81;0.28;1000
0.81;0.29;1000
0.81;0.3;1000
0.81;0.31;1000
0.81;0.32;1000
0.81;0.33;1000
0.81;0.34;1000
0.81;0.35;1000
0.81;0.36;1000
0.81;0.37;1000
0.81;0.38;1000
0.81;0.39;1000
0.81;0.4;1000
0.81;0.41;1000
0.81;0.42;1000
0.81;0.43;1000
0.81;0.44;1000
0.81;0.45;1000
0.81;0.46;1000
0.81;0.47;1000
0.81;0.48;1000
0.81;0.49;1000
0.81;0.5;1000
0.81;0.51;1000
0.81;0.52;1000
0.81;0.53;1000
0.81;0.54;1000
0.81;0.55;1000
0.81;0.56;1000
0.81;0.57;1000
0.81;0.58;1000
0.81;0.59;1000
0.81;0.6;1000
0.81;0.61;1000
0.81;0.62;1000
0.81;0.63;1000
0.81;0.64;1000
0.81;0.65;1000
0.81;0.66;1000
0.81;0.67;1000
0.81;0.68;1000
0.81;0.69;1000
0.81;0.7;1000
0.81;0.71;1000
0.81;0.72;1000
0.81;0.73;1000
0.81;0.74;1000
0.81;0.75;1000
0.81;0.76;1000
0.81;0.77;1000
0.81;0.78;1000
0.81;0.79;1000
0.81;0.8;1000
0.81;0.81;1000
0.82;0.0;5
0.82;0.01;5
0.82;0.02;4
0.82;0.03;5
0.82;0.04;6
0.82;0.05;6
0.82;0.06;6
0.82;0.07;6
0.82;0.08;6
0.82;0.09;6
0.82;0.1;6
0.82;0.11;7
0.82;0.12;7
0.82;0.13;7
0.82;0.14;7
0.82;0.15;7
0.82;0.16;7
0.82;0.17;8
0.82;0.18;1000
0.82;0.19;1000
0.82;0.2;1000
0.82;0.21;1000
0.82;0.22;1000
0.82;0.23;1000
0.82;0.24;1000
0.82;0.25;1000
0.82;0.26;1000
0.82;0.27;1000
0.82;0.28;1000
0.82;0.29;1000
0.82;0.3;1000
0.82;0.31;1000
0.82;0.32;1000
0.82;0.33;1000
0.82;0.34;1000
0.82;0.35;1000
0.82;0.36;1000
0.82;0.37;1000
0.82;0.38;1000
0.82;0.39;1000
0.82;0.4;1000
0.82;0.41;1000
0.82;0.42;1000
0.82;0.43;1000
0.82;0.44;1000
0.82;0.45;1000
0.82;0.46;1000
0.82;0.47;1000
0.82;0.48;1000
0.82;0.49;1000
0.82;0.5;1000
0.82;0.51;1000
0.82;0.52;1000
0.82;0.53;1000
0.82;0.54;1000
0.82;0.55;1000
0.82;0.56;1000
0.82;0.57;1000
0.82;0.58;1000
0.82;0.59;1000
0.82;0.6;1000
0.82;0.61;1000
0.82;0.62;1000
0.82;0.63;1000
0.82;0.64;1000
0.82;0.65;1000
0.82;0.66;1000
0.82;0.67;1000
0.82;0.68;1000
0.82;0.69;1000
0.82;0.7;1000
0.82;0.71;1000
0.82;0.72;1000
0.82;0.73;1000
0.82;0.74;1000
0.82;0.75;1000
0.82;0.76;1000
0.82;0.77;1000
0.82;0.78;1000
0.82;0.79;1000
0.82;0.8;1000
0.82;0.81;1000
0.82;0.82;1000
0.83;0.0;5
0.83;0.01;4
0.83;0.02;4
0.83;0.03;5
0.83;0.04;5
0.83;0.05;6
0.83;0.06;6
0.83;0.07;6
0.83;0.08;6
0.83;0.09;6
0.83;0.1;6
0.83;0.11;7
0.83;0.12;7
0.83;0.13;7
0.83;0.14;7
0.83;0.15;7
0.83;0.16;7
0.83;0.17;1000
0.83;0.18;1000
0.83;0.19;1000
0.83;0.2;1000
0.83;0.21;1000
0.83;0.22;1000
0.83;0.23;1000
0.83;0.24;1000
0.83;0.25;1000
0.83;0.26;1000
0.83;0.27;1000
0.83;0.28;1000
0.83;0.29;1000
0.83;0.3;1000
0.83;0.31;1000
0.83;0.32;1000
0.83;0.33;1000
0.83;0.34;1000
0.83;0.35;1000
0.83;0.36;1000
0.83;0.37;1000
0.83;0.38;1000
0.83;0.39;1000
0.83;0.4;1000
0.83;0.41;1000
0.83;0.42;1000
0.83;0.43;1000
0.83;0.44;1000
0.83;0.45;1000
0.83;0.46;1000
0.83;0.47;1000
0.83;0.48;1000
0.83;0.49;1000
0.83;0.5;1000
0.83;0.51;1000
0.83;0.52;1000
0.83;0.53;1000
0.83;0.54;1000
0.83;0.55;1000
0.83;0.56;1000
0.83;0.57;1000
0.83;0.58;1000
0.83;0.59;1000
0.83;0.6;1000
0.83;0.61;1000
0.83;0.62;1000
0.83;0.63;1000
0.83;0.64;1000
0.83;0.65;1000
0.83;0.66;1000
0.83;0.67;1000
0.83;0.68;1000
0.83;0.69;1000
0.83;0.7;1000
0.83;0.71;1000
0.83;0.72;1000
0.83;0.73;1000
0.83;0.74;1000
0.83;0.75;1000
0.83;0.76;1000
0.83;0.77;1000
0.83;0.78;1000
0.83;0.79;1000
0.83;0.8;1000
0.83;0.81;1000
0.83;0.82;1000
0.83;0.83;1000
0.84;0.0;5
0.84;0.01;4
0.84;0.02;4
0.84;0.03;5
0.84;0.04;5
0.84;0.05;6
0.84;0.06;6
0.84;0.07;6
0.84;0.08;6
0.84;0.09;6
0.84;0.1;7
0.84;0.11;7
0.84;0.12;7
0.84;0.13;7
0.84;0.14;7
0.84;0.15;7
0.84;0.16;1000
0.84;0.17;1000
0.84;0.18;1000
0.84;0.19;1000
0.84;0.2;1000
0.84;0.21;1000
0.84;0.22;1000
0.84;0.23;1000
0.84;0.24;1000
0.84;0.25;1000
0.84;0.26;1000
0.84;0.27;1000
0.84;0.28;1000
0.84;0.29;1000
0.84;0.3;1000
0.84;0.31;1000
0.84;0.32;1000
0.84;0.33;1000
0.84;0.34;1000
0.84;0.35;1000
0.84;0.36;1000
0.84;0.37;1000
0.84;0.38;1000
0.84;0.39;1000
0.84;0.4;1000
0.84;0.41;1000
0.84;0.42;1000
0.84;0.43;1000
0.84;0.44;1000
0.84;0.45;1000
0.84;0.46;1000
0.84;0.47;1000
0.84;0.48;1000
0.84;0.49;1000
0.84;0.5;1000
0.84;0.51;1000
0.84;0.52;1000
0.84;0.53;1000
0.84;0.54;1000
0.84;0.55;1000
0.84;0.56;1000
0.84;0.57;1000
0.84;0.58;1000
0.84;0.59;1000
0.84;0.6;1000
0.84;0.61;1000
0.84;0.62;1000
0.84;0.63;1000
0.84;0.64;1000
0.84;0.65;1000
0.84;0.66;1000
0.84;0.67;1000
0.84;0.68;1000
0.84;0.69;1000
0.84;0.7;1000
0.84;0.71;1000
0.84;0.72;1000
0.84;0.73;1000
0.84;0.74;1000
0.84;0.75;1000
0.84;0.76;1000
0.84;0.77;1000
0.84;0.78;1000
0.84;0.79;1000
0.84;0.8;1000
0.84;0.81;1000
0.84;0.82;1000
0.84;0.83;1000
0.84;0.84;1000
0.85;0.0;5
0.85;0.01;4
0.85;0.02;4
0.85;0.03;5
0.85;0.04;5
0.85;0.05;6
0.85;0.06;6
0.85;0.07;6
0.85;0.08;6
0.85;0.09;6
0.85;0.1;7
0.85;0.11;7
0.85;0.12;7
0.85;0.13;7
0.85;0.14;7
0.85;0.15;1000
0.85;0.16;1000
0.85;0.17;1000
0.85;0.18;1000
0.85;0.19;1000
0.85;0.2;1000
0.85;0.21;1000
0.85;0.22;1000
0.85;0.23;1000
0.85;0.24;1000
0.85;0.25;1000
0.85;0.26;1000
0.85;0.27;1000
0.85;0.28;1000
0.85;0.29;1000
0.85;0.3;1000
0.85;0.31;1000
0.85;0.32;1000
0.85;0.33;1000
0.85;0.34;1000
0.85;0.35;1000
0.85;0.36;1000
0.85;0.37;1000
0.85;0.38;1000
0.85;0.39;1000
0.85;0.4;1000
0.85;0.41;1000
0.85;0.42;1000
0.85;0.43;1000
0.85;0.44;1000
0.85;0.45;1000
0.85;0.46;1000
0.85;0.47;1000
0.85;0.48;1000
0.85;0.49;1000
0.85;0.5;1000
0.85;0.51;1000
0.85;0.52;1000
0.85;0.53;1000
0.85;0.54;1000
0.85;0.55;1000
0.85;0.56;1000
0.85;0.57;1000
0.85;0.58;1000
0.85;0.59;1000
0.85;0.6;1000
0.85;0.61;1000
0.85;0.62;1000
0.85;0.63;1000
0.85;0.64;1000
0.85;0.65;1000
0.85;0.66;1000
0.85;0.67;1000
0.85;0.68;1000
0.85;0.69;1000
0.85;0.7;1000
0.85;0.71;1000
0.85;0.72;1000
0.85;0.73;1000
0.85;0.74;1000
0.85;0.75;1000
0.85;0.76;1000
0.85;0.77;1000
0.85;0.78;1000
0.85;0.79;1000
0.85;0.8;1000
0.85;0.81;1000
0.85;0.82;1000
0.85;0.83;1000
0.85;0.84;1000
0.85;0.85;1000
0.86;0.0;5
0.86;0.01;4
0.86;0.02;4
0.86;0.03;5
0.86;0.04;5
0.86;0.05;6
0.86;0.06;6
0.86;0.07;6
0.86;0.08;6
0.86;0.09;6
0.86;0.1;7
0.86;0.11;7
0.86;0.12;7
0.86;0.13;7
0.86;0.14;1000
0.86;0.15;1000
0.86;0.16;1000
0.86;0.17;1000
0.86;0.18;1000
0.86;0.19;1000
0.86;0.2;1000
0.86;0.21;1000
0.86;0.22;1000
0.86;0.23;1000
0.86;0.24;1000
0.86;0.25;1000
0.86;0.26;1000
0.86;0.27;1000
0.86;0.28;1000
0.86;0.29;1000
0.86;0.3;1000
0.86;0.31;1000
0.86;0.32;1000
0.86;0.33;1000
0.86;0.34;1000
0.86;0.35;1000
0.86;0.36;1000
0.86;0.37;1000
0.86;0.38;1000
0.86;0.39;1000
0.86;0.4;1000
0.86;0.41;1000
0.86;0.42;1000
0.86;0.43;1000
0.86;0.44;1000
0.86;0.45;1000
0.86;0.46;1000
0.86;0.47;1000
0.86;0.48;1000
0.86;0.49;1000
0.86;0.5;1000
0.86;0.51;1000
0.86;0.52;1000
0.86;0.53;1000
0.86;0.54;1000
0.86;0.55;1000
0.86;0.56;1000
0.86;0.57;1000
0.86;0.58;1000
0.86;0.59;1000
0.86;0.6;1000
0.86;0.61;1000
0.86;0.62;1000
0.86;0.63;1000
0.86;0.64;1000
0.86;0.65;1000
0.86;0.66;1000
0.86;0.67;1000
0.86;0.68;1000
0.86;0.69;1000
0.86;0.7;1000
0.86;0.71;1000
0.86;0.72;1000
0.86;0.73;1000
0.86;0.74;1000
0.86;0.75;1000
0.86;0.76;1000
0.86;0.77;1000
0.86;0.78;1000
0.86;0.79;1000
0.86;0.8;1000
0.86;0.81;1000
0.86;0.82;1000
0.86;0.83;1000
0.86;0.84;1000
0.86;0.85;1000
0.86;0.86;1000
0.87;0.0;5
0.87;0.01;4
0.87;0.02;5
0.87;0.03;5
0.87;0.04;5
0.87;0.05;6
0.87;0.06;6
0.87;0.07;6
0.87;0.08;6
0.87;0.09;6
0.87;0.1;7
0.87;0.11;7
0.87;0.12;7
0.87;0.13;1000
0.87;0.14;1000
0.87;0.15;1000
0.87;0.16;1000
0.87;0.17;1000
0.87;0.18;1000
0.87;0.19;1000
0.87;0.2;1000
0.87;0.21;1000
0.87;0.22;1000
0.87;0.23;1000
0.87;0.24;1000
0.87;0.25;1000
0.87;0.26;1000
0.87;0.27;1000
0.87;0.28;1000
0.87;0.29;1000
0.87;0.3;1000
0.87;0.31;1000
0.87;0.32;1000
0.87;0.33;1000
0.87;0.34;1000
0.87;0.35;1000
0.87;0.36;1000
0.87;0.37;1000
0.87;0.38;1000
0.87;0.39;1000
0.87;0.4;1000
0.87;0.41;1000
0.87;0.42;1000
0.87;0.43;1000
0.87;0.44;1000
0.87;0.45;1000
0.87;0.46;1000
0.87;0.47;1000
0.87;0.48;1000
0.87;0.49;1000
0.87;0.5;1000
0.87;0.51;1000
0.87;0.52;1000
0.87;0.53;1000
0.87;0.54;1000
0.87;0.55;1000
0.87;0.56;1000
0.87;0.57;1000
0.87;0.58;1000
0.87;0.59;1000
0.87;0.6;1000
0.87;0.61;1000
0.87;0.62;1000
0.87;0.63;1000
0.87;0.64;1000
0.87;0.65;1000
0.87;0.66;1000
0.87;0.67;1000
0.87;0.68;1000
0.87;0.69;1000
0.87;0.7;1000
0.87;0.71;1000
0.87;0.72;1000
0.87;0.73;1000
0.87;0.74;1000
0.87;0.75;1000
0.87;0.76;1000
0.87;0.77;1000
0.87;0.78;1000
0.87;0.79;1000
0.87;0.8;1000
0.87;0.81;1000
0.87;0.82;1000
0.87;0.83;1000
0.87;0.84;1000
0.87;0.85;1000
0.87;0.86;1000
0.87;0.87;1000
0.88;0.0;4
0.88;0.01;4
0.88;0.02;5
0.88;0.03;5
0.88;0.04;5
0.88;0.05;5
0.88;0.06;6
0.88;0.07;6
0.88;0.08;6
0.88;0.09;6
0.88;0.1;7
0.88;0.11;7
0.88;0.12;1000
0.88;0.13;1000
0.88;0.14;1000
0.88;0.15;1000
0.88;0.16;1000
0.88;0.17;1000
0.88;0.18;1000
0.88;0.19;1000
0.88;0.2;1000
0.88;0.21;1000
0.88;0.22;1000
0.88;0.23;1000
0.88;0.24;1000
0.88;0.25;1000
0.88;0.26;1000
0.88;0.27;1000
0.88;0.28;1000
0.88;0.29;1000
0.88;0.3;1000
0.88;0.31;1000
0.88;0.32;1000
0.88;0.33;1000
0.88;0.34;1000
0.88;0.35;1000
0.88;0.36;1000
0.88;0.37;1000
0.88;0.38;1000
0.88;0.39;1000
0.88;0.4;1000
0.88;0.41;1000
0.88;0.42;1000
0.88;0.43;1000
0.88;0.44;1000
0.88;0.45;1000
0.88;0.46;1000
0.88;0.47;1000
0.88;0.48;1000
0.88;0.49;1000
0.88;0.5;1000
0.88;0.51;1000
0.88;0.52;1000
0.88;0.53;1000
0.88;0.54;1000
0.88;0.55;1000
0.88;0.56;1000
0.88;0.57;1000
0.88;0.58;1000
0.88;0.59;1000
0.88;0.6;1000
0.88;0.61;1000
0.88;0.62;1000
0.88;0.63;1000
0.88;0.64;1000
0.88;0.65;1000
0.88;0.66;1000
0.88;0.67;1000
0.88;0.68;1000
0.88;0.69;1000
0.88;0.7;1000
0.88;0.71;1000
0.88;0.72;1000
0.88;0.73;1000
0.88;0.74;1000
0.88;0.75;1000
0.88;0.76;1000
0.88;0.77;1000
0.88;0.78;1000
0.88;0.79;1000
0.88;0.8;1000
0.88;0.81;1000
0.88;0.82;1000
0.88;0.83;1000
0.88;0.84;1000
0.88;0.85;1000
0.88;0.86;1000
0.88;0.87;1000
0.88;0.88;1000
0.89;0.0;4
0.89;0.01;4
0.89;0.02;5
0.89;0.03;5
0.89;0.04;5
0.89;0.05;5
0.89;0.06;5
0.89;0.07;6
0.89;0.08;6
0.89;0.09;6
0.89;0.1;7
0.89;0.11;1000
0.89;0.12;1000
0.89;0.13;1000
0.89;0.14;1000
0.89;0.15;1000
0.89;0.16;1000
0.89;0.17;1000
0.89;0.18;1000
0.89;0.19;1000
0.89;0.2;1000
0.89;0.21;1000
0.89;0.22;1000
0.89;0.23;1000
0.89;0.24;1000
0.89;0.25;1000
0.89;0.26;1000
0.89;0.27;1000
0.89;0.28;1000
0.89;0.29;1000
0.89;0.3;1000
0.89;0.31;1000
0.89;0.32;1000
0.89;0.33;1000
0.89;0.34;1000
0.89;0.35;1000
0.89;0.36;1000
0.89;0.37;1000
0.89;0.38;1000
0.89;0.39;1000
0.89;0.4;1000
0.89;0.41;1000
0.89;0.42;1000
0.89;0.43;1000
0.89;0.44;1000
0.89;0.45;1000
0.89;0.46;1000
0.89;0.47;1000
0.89;0.48;1000
0.89;0.49;1000
0.89;0.5;1000
0.89;0.51;1000
0.89;0.52;1000
0.89;0.53;1000
0.89;0.54;1000
0.89;0.55;1000
0.89;0.56;1000
0.89;0.57;1000
0.89;0.58;1000
0.89;0.59;1000
0.89;0.6;1000
0.89;0.61;1000
0.89;0.62;1000
0.89;0.63;1000
0.89;0.64;1000
0.89;0.65;1000
0.89;0.66;1000
0.89;0.67;1000
0.89;0.68;1000
0.89;0.69;1000
0.89;0.7;1000
0.89;0.71;1000
0.89;0.72;1000
0.89;0.73;1000
0.89;0.74;1000
0.89;0.75;1000
0.89;0.76;1000
0.89;0.77;1000
0.89;0.78;1000
0.89;0.79;1000
0.89;0.8;1000
0.89;0.81;1000
0.89;0.82;1000
0.89;0.83;1000
0.89;0.84;1000
0.89;0.85;1000
0.89;0.86;1000
0.89;0.87;1000
0.89;0.88;1000
0.89;0.89;1000
0.9;0.0;4
0.9;0.01;4
0.9;0.02;5
0.9;0.03;5
0.9;0.04;5
0.9;0.05;5
0.9;0.06;5
0.9;0.07;5
0.9;0.08;6
0.9;0.09;6
0.9;0.1;1000
0.9;0.11;1000
0.9;0.12;1000
0.9;0.13;1000
0.9;0.14;1000
0.9;0.15;1000
0.9;0.16;1000
0.9;0.17;1000
0.9;0.18;1000
0.9;0.19;1000
0.9;0.2;1000
0.9;0.21;1000
0.9;0.22;1000
0.9;0.23;1000
0.9;0.24;1000
0.9;0.25;1000
0.9;0.26;1000
0.9;0.27;1000
0.9;0.28;1000
0.9;0.29;1000
0.9;0.3;1000
0.9;0.31;1000
0.9;0.32;1000
0.9;0.33;1000
0.9;0.34;1000
0.9;0.35;1000
0.9;0.36;1000
0.9;0.37;1000
0.9;0.38;1000
0.9;0.39;1000
0.9;0.4;1000
0.9;0.41;1000
0.9;0.42;1000
0.9;0.43;1000
0.9;0.44;1000
0.9;0.45;1000
0.9;0.46;1000
0.9;0.47;1000
0.9;0.48;1000
0.9;0.49;1000
0.9;0.5;1000
0.9;0.51;1000
0.9;0.52;1000
0.9;0.53;1000
0.9;0.54;1000
0.9;0.55;1000
0.9;0.56;1000
0.9;0.57;1000
0.9;0.58;1000
0.9;0.59;1000
0.9;0.6;1000
0.9;0.61;1000
0.9;0.62;1000
0.9;0.63;1000
0.9;0.64;1000
0.9;0.65;1000
0.9;0.66;1000
0.9;0.67;1000
0.9;0.68;1000
0.9;0.69;1000
0.9;0.7;1000
0.9;0.71;1000
